105 45 1
0	84	82	52	80	61	66	85	55	88	76	78	79	66	85	57	58	74	93	91	78	87	66	56	76	65	79	76	71	63	68	70	72	74	69	64	53	68	62	84	84	76	87	86	98	73	97	66	73	76	83	70	80	100	57	84	67	77	76	92	50	63	82	77	96	63	99	62	93	85	73	91	51	58	86	86	72	79	88	100	85	64	88	58	50	75	54	58	96	89	88	72	50	79	76	53	77	69	61	69	81	83	86	77	64	
91	0	84	65	50	55	76	89	61	52	53	58	86	65	52	74	73	76	72	57	64	92	85	79	84	66	52	100	77	50	93	51	69	74	79	87	84	77	51	56	99	59	67	81	80	56	78	98	68	92	99	63	62	71	91	95	62	88	85	73	63	83	55	60	55	77	50	58	80	72	54	85	69	92	56	99	51	54	75	89	97	62	68	89	75	88	84	84	88	51	61	61	78	83	81	68	61	61	83	58	87	58	52	83	56	
98	74	0	96	50	80	86	75	52	72	76	89	53	72	99	73	66	72	87	60	58	68	97	99	63	53	56	76	58	76	55	92	68	71	66	86	79	94	88	92	85	69	97	80	68	77	73	70	62	54	71	74	64	55	61	90	76	84	94	62	86	63	69	54	73	61	90	75	50	63	83	71	59	99	56	90	98	58	80	53	67	64	75	92	92	87	66	90	82	52	52	57	89	53	76	97	61	60	54	85	86	75	63	86	69	
60	61	72	0	93	99	72	51	76	51	88	80	91	66	61	77	71	70	100	99	93	94	65	57	100	82	73	97	85	91	77	79	58	98	91	57	52	67	55	54	76	51	78	93	76	84	87	85	51	59	84	67	53	57	96	61	69	79	58	51	85	88	86	53	80	97	97	71	75	92	96	80	86	76	75	58	99	79	63	77	85	84	54	77	81	84	75	79	80	72	57	75	87	51	52	76	66	51	62	55	69	78	80	81	97	
89	76	74	83	0	70	74	74	86	77	64	80	64	85	77	97	62	71	80	89	96	84	91	76	61	57	95	62	83	50	97	64	93	64	98	75	56	71	85	72	55	89	55	72	67	65	88	67	66	52	79	74	60	55	99	94	75	68	91	58	58	52	57	73	69	95	71	71	83	65	53	91	95	96	95	89	58	79	51	90	76	93	64	94	79	69	91	76	97	71	79	88	94	67	59	87	86	94	53	86	94	68	54	58	71	
54	84	78	91	94	0	82	95	94	74	55	69	69	85	56	53	57	74	86	62	69	99	82	84	96	68	93	90	71	53	75	74	72	75	87	97	65	57	55	54	99	70	62	99	92	60	56	60	67	79	72	79	72	68	69	80	71	57	84	100	85	70	93	91	90	69	50	74	82	82	82	90	69	68	69	67	85	57	64	84	93	66	57	80	50	96	69	76	67	63	64	92	56	82	52	73	69	57	88	83	50	90	78	64	71	
66	76	86	92	61	73	0	52	53	60	78	92	71	92	64	59	68	97	80	68	73	82	98	70	52	72	80	88	94	56	55	83	92	79	83	100	50	96	59	99	76	64	86	80	92	92	83	87	82	67	77	83	66	94	72	96	64	98	55	71	92	99	66	76	77	91	97	83	62	98	80	56	62	95	60	58	92	80	81	92	84	69	94	84	55	50	84	82	73	79	51	67	93	68	83	79	53	87	64	72	58	54	95	100	80	
51	85	74	79	95	72	85	0	74	63	98	62	98	74	56	99	93	61	50	89	52	98	82	79	56	56	92	75	83	75	76	56	96	84	64	69	69	92	62	56	87	83	60	93	51	55	59	68	89	86	83	79	67	58	64	58	61	84	70	95	79	67	72	85	92	90	93	64	63	58	77	53	100	88	56	58	71	89	60	72	51	97	55	63	74	90	63	60	64	69	60	97	88	81	79	68	96	60	55	90	85	50	88	55	95	
83	67	69	60	66	50	96	90	0	87	92	94	56	67	98	68	67	54	79	89	93	75	91	82	72	67	67	64	96	81	87	58	89	62	81	93	66	81	56	69	56	63	56	60	88	53	73	99	61	60	84	54	93	57	56	91	98	52	53	92	57	90	61	70	80	83	52	100	91	71	51	55	99	94	84	92	62	86	80	61	61	50	72	70	97	51	76	69	93	90	81	66	81	83	82	63	51	100	60	82	78	69	56	72	57	
79	77	74	95	54	68	55	65	92	0	92	99	91	90	92	72	82	85	91	73	59	70	97	73	69	76	61	95	100	56	73	85	64	70	87	51	65	59	91	64	86	70	90	86	79	82	90	50	82	67	74	75	77	66	93	57	70	69	93	52	73	89	64	99	100	100	87	67	90	60	80	77	62	60	79	76	88	81	100	90	78	57	55	76	62	79	67	84	53	93	94	66	57	87	83	70	79	78	75	81	97	81	63	52	81	
