35 15 1
0	64	59	57	79	90	51	77	75	98	88	78	95	81	92	58	60	86	56	54	64	50	71	51	86	97	62	59	66	95	83	57	84	69	69	
75	0	79	93	80	98	78	57	100	70	57	78	62	74	73	99	56	60	66	82	56	83	81	90	62	74	69	60	51	95	71	57	98	70	56	
95	54	0	53	68	62	56	89	73	67	73	91	97	83	60	84	96	62	93	74	75	80	91	88	73	98	82	72	92	85	85	100	98	93	64	
77	76	55	0	79	94	72	87	94	86	90	86	87	50	95	76	73	53	86	74	84	84	60	96	94	95	77	57	72	100	60	72	66	76	94	
72	73	91	68	0	100	57	82	81	50	50	89	87	66	71	84	84	60	92	86	92	54	54	88	82	60	60	54	69	98	98	69	63	85	64	
89	89	71	64	59	0	59	100	62	91	56	70	80	59	92	58	100	63	61	55	61	82	85	90	85	88	84	82	52	80	61	66	85	55	88	
76	78	79	66	85	57	0	74	93	91	78	87	66	56	76	65	79	76	71	63	68	70	72	74	69	64	53	68	62	84	84	76	87	86	98	
73	97	66	73	76	83	70	0	100	57	84	67	77	76	92	50	63	82	77	96	63	99	62	93	85	73	91	51	58	86	86	72	79	88	100	
85	64	88	58	50	75	54	58	0	89	88	72	50	79	76	53	77	69	61	69	81	83	86	77	64	91	68	84	65	50	55	76	89	61	52	
53	58	86	65	52	74	73	76	72	0	64	92	85	79	84	66	52	100	77	50	93	51	69	74	79	87	84	77	51	56	99	59	67	81	80	
56	78	98	68	92	99	63	62	71	91	0	62	88	85	73	63	83	55	60	55	77	50	58	80	72	54	85	69	92	56	99	51	54	75	89	
97	62	68	89	75	88	84	84	88	51	61	0	78	83	81	68	61	61	83	58	87	58	52	83	56	98	74	81	96	50	80	86	75	52	72	
76	89	53	72	99	73	66	72	87	60	58	68	0	99	63	53	56	76	58	76	55	92	68	71	66	86	79	94	88	92	85	69	97	80	68	
77	73	70	62	54	71	74	64	55	61	90	76	84	0	62	86	63	69	54	73	61	90	75	50	63	83	71	59	99	56	90	98	58	80	53	
67	64	75	92	92	87	66	90	82	52	52	57	89	53	0	97	61	60	54	85	86	75	63	86	69	60	61	72	73	93	99	72	51	76	51	
88	80	91	66	61	77	71	70	100	99	93	94	65	57	100	0	73	97	85	91	77	79	58	98	91	57	52	67	55	54	76	51	78	93	76	
84	87	85	51	59	84	67	53	57	96	61	69	79	58	51	85	0	86	53	80	97	97	71	75	92	96	80	86	76	75	58	99	79	63	77	
85	84	54	77	81	84	75	79	80	72	57	75	87	51	52	76	66	0	62	55	69	78	80	81	97	89	76	74	83	85	70	74	74	86	77	
64	80	64	85	77	97	62	71	80	89	96	84	91	76	61	57	95	62	0	50	97	64	93	64	98	75	56	71	85	72	55	89	55	72	67	
65	88	67	66	52	79	74	60	55	99	94	75	68	91	58	58	52	57	73	0	95	71	71	83	65	53	91	95	96	95	89	58	79	51	90	
76	93	64	94	79	69	91	76	97	71	79	88	94	67	59	87	86	94	53	86	0	68	54	58	71	54	84	78	91	94	89	82	95	94	74	
55	69	69	85	56	53	57	74	86	62	69	99	82	84	96	68	93	90	71	53	75	0	72	75	87	97	65	57	55	54	99	70	62	99	92	
60	56	60	67	79	72	79	72	68	69	80	71	57	84	100	85	70	93	91	90	69	50	0	82	82	82	90	69	68	69	67	85	57	64	84	
93	66	57	80	50	96	69	76	67	63	64	92	56	82	52	73	69	57	88	83	50	90	78	0	71	66	76	86	92	61	73	69	52	53	60	
78	92	71	92	64	59	68	97	80	68	73	82	98	70	52	72	80	88	94	56	55	83	92	79	0	100	50	96	59	99	76	64	86	80	92	
92	83	87	82	67	77	83	66	94	72	96	64	98	55	71	92	99	66	76	77	91	97	83	62	98	0	56	62	95	60	58	92	80	81	92	
84	69	94	84	55	50	84	82	73	79	51	67	93	68	83	79	53	87	64	72	58	54	95	100	80	51	0	74	79	95	72	85	60	74	63	
98	62	98	74	56	99	93	61	50	89	52	98	82	79	56	56	92	75	83	75	76	56	96	84	64	69	69	0	62	56	87	83	60	93	51	
55	59	68	89	86	83	79	67	58	64	58	61	84	70	95	79	67	72	85	92	90	93	64	63	58	77	53	100	0	56	58	71	89	60	72	
51	97	55	63	74	90	63	60	64	69	60	97	88	81	79	68	96	60	55	90	85	50	88	55	95	83	67	69	60	0	50	96	90	70	87	
92	94	56	67	98	68	67	54	79	89	93	75	91	82	72	67	67	64	96	81	87	58	89	62	81	93	66	81	56	69	0	63	56	60	88	
53	73	99	61	60	84	54	93	57	56	91	98	52	53	92	57	90	61	70	80	83	52	100	91	71	51	55	99	94	84	92	0	86	80	61	
61	50	72	70	97	51	76	69	93	90	81	66	81	83	82	63	51	100	60	82	78	69	56	72	57	79	77	74	95	54	68	55	0	92	96	
92	99	91	90	92	72	82	85	91	73	59	70	97	73	69	76	61	95	100	56	73	85	64	70	87	51	65	59	91	64	86	70	90	0	79	
82	90	50	82	67	74	75	77	66	93	57	70	69	93	52	73	89	64	99	100	100	87	67	90	60	80	77	62	60	79	76	88	81	100	0	
26	39	71	55	88	39	71	40	39	35	58	81	77	62	59	
39	26	55	26	50	31	64	16	47	41	24	57	45	23	45	
71	55	26	78	80	85	18	70	40	40	72	108	31	57	100	
55	26	78	26	39	23	89	15	73	66	9	31	60	26	24	
88	50	80	39	26	62	96	50	93	87	32	46	50	28	58	
39	31	85	23	62	26	92	16	68	62	30	42	74	44	21	
71	64	18	89	96	92	26	79	33	36	84	120	49	72	109	
40	16	70	15	50	16	79	26	60	53	18	44	58	29	30	
39	47	40	73	93	68	33	60	26	7	71	104	60	65	88	
35	41	40	66	87	62	36	53	7	26	64	97	56	59	81	
58	24	72	9	32	30	84	18	71	64	26	36	52	17	33	
81	57	108	31	46	42	120	44	104	97	36	26	85	51	24	
77	45	31	60	50	74	49	58	60	56	52	85	26	35	84	
62	23	57	26	28	44	72	29	65	59	17	51	35	26	50	
59	45	100	24	58	21	109	30	88	81	33	24	84	50	26	
6240		2337		3245		3192		1302		4898		5092		4032		4081		6696		3102		3960		1653		1653		5395		
630		3634		5538		4725		7776		4656		5508		3024		1820		2592		4422		4590		4640		5589		4828		
1716		1392		4140		2380		4554		1512		5135		1420		2255		2244		3024		5070		5452		3080		4653		
3498		4070		5995		3300		4992		2465		6608		2886		5141		6480		4032		1656		8649		5900		702		
3136		2790		1475		4399		4897		6039		2774		2668		2223		2176		4653		6640		2046		1802		7275		
8330		4088		6592		2263		2414		4512		6960		3174		9152		8827		2772		1118		6552		2970		1972		
5355		3072		4698		400		1856		1770		5640		1932		6720		5548		660		1898		4026		1404		2444		
936		2223		5063		5880		8460		3984		3480		2610		1300		1276		3355		6052		5460		6138		4278		
4539		2550		6745		4275		1152		5159		5104		3996		8099		8051		2923		4389		2960		2376		4356		
1740		1748		5175		2392		6237		550		5265		949		5415		4743		1922		4437		6256		2911		2666		
4340		2280		2432		2592		3360		5340		3024		2860		2891		3960		3321		6232		990		1425		4248		
3066		1925		1856		4947		4620		2754		2204		3198		2700		1254		3149		5330		2448		2204		4686		
1863		2378		3520		2754		5226		2597		3465		3075		1216		744		3816		7055		3498		2450		6831		
4235		3762		10780		2144		3016		3900		6655		2288		10197		8640		2318		385		5518		3960		1178		
1088		4212		8178		6045		8484		3588		7480		4896		4836		4312		4270		8700		5859		5313		4160		
3872		500		4895		1633		3690		2336		3630		944		4888		3375		1843		5130		2688		1476		4455		
2233		4324		4940		2832		8514		2225		9118		1887		5168		4278		5346		3776		5551		5280		3800		
4758		1458		3204		4005		3956		2964		4845		2173		5000		2898		2775		6205		1496		2156		5780		
1824		3190		8281		4096		7474		4128		7565		3570		3306		5088		4140		6545		6555		4851		5551		
1612		3154		3216		4712		6351		4400		3780		2448		1274		621		4774		9108		5368		5310		6600		
3942		1890		1798		4165		3360		4731		2870		2688		2680		2275		3655		7742		2047		2880		3672		
8019		2392		5950		1624		1260		2550		8000		4032		5060		6622		1272		2496		4002		2072		3036		
2660		3198		9021		2890		5840		600		6336		1932		6336		5148		3276		3024		4675		3248		1632		
728		2898		4366		4473		7968		3619		3763		3504		2622		1925		4950		4928		5002		4968		4556		
6400		4085		6432		1296		4230		2600		6955		2291		6942		4674		1950		1200		6699		2322		671		
4292		4278		621		5418		5162		8463		620		7315		3510		3960		4960		7424		3198		5676		8132		
4144		2680		8835		1349		2754		1632		10192		1975		8300		5390		2212		2275		5530		2340		385		
2744		2054		7920		672		2820		1170		8280		768		4615		6336		1600		2607		4290		2432		1080		
5824		4452		8640		1920		3900		1508		7488		2280		8460		8272		3690		1404		5336		3596		704		
6916		3588		6580		3234		1280		6230		8700		5586		8099		7476		3400		5612		3198		2581		4900		
3397		1633		2880		3626		5355		4732		3120		2535		2370		1850		4180		5680		2142		2628		3450		
3403		432		4914		1512		3948		2112		5976		800		3520		4272		850		2646		2650		2231		2220		
7031		2542		4672		2697		585		3922		8544		3977		7980		4836		2024		3696		3285		1406		3120		
6450		4465		6164		4312		1485		6336		4788		3276		5950		7031		3204		5251		2628		1704		5412		
2988		348		4876		1890		4806		1888		3416		1620		4400		1961		1917		5612		3690		2646		3408		
