21 9 1
51	52	32	99	50	27	10	95	8	51	39	28	92	53	47	95	6	77	78	83	13	
2	69	87	63	74	73	100	89	24	31	36	52	60	85	42	85	27	42	54	47	29	
18	16	58	81	4	54	50	96	75	56	90	63	85	16	22	72	14	10	28	1	42	
3	71	94	24	19	32	89	66	16	69	39	39	50	15	59	85	60	96	56	15	99	
41	15	57	26	49	47	97	13	20	32	63	13	66	63	81	25	48	39	21	3	91	
43	15	95	42	14	89	10	17	8	37	26	14	79	46	35	46	81	94	66	22	68	
91	26	87	48	51	61	82	76	47	96	64	44	83	69	71	99	96	86	29	54	52	
11	42	58	88	45	73	87	72	81	71	75	2	89	53	47	7	72	49	67	69	20	
92	87	90	55	14	46	99	22	45	32	52	89	44	47	81	37	22	100	16	64	62	
1	1	78	73	32	42	69	69	21	84	71	83	10	9	77	63	22	22	9	39	96	
95	39	27	70	29	78	79	43	29	20	2	20	99	25	82	14	40	61	18	83	16	
99	26	24	11	22	64	70	80	70	76	67	64	6	60	23	32	70	12	77	53	56	
59	33	71	15	17	49	87	82	56	74	32	14	53	32	59	52	44	26	38	40	45	
48	39	28	8	37	26	68	68	52	73	73	95	47	95	33	47	52	67	41	61	99	
16	68	35	55	53	83	2	28	65	55	92	27	98	25	85	70	46	82	3	17	71	
71	44	59	76	100	70	28	76	18	1	50	8	17	91	79	75	44	1	59	52	7	
55	39	22	39	63	66	71	54	29	82	38	69	32	1	11	53	78	23	6	8	17	
73	30	6	48	46	52	45	16	29	84	70	58	69	34	6	99	55	1	86	3	38	
49	58	74	68	54	4	13	98	19	36	62	61	13	56	96	36	84	98	26	26	43	
82	90	25	77	70	46	27	67	12	21	12	55	1	18	60	44	9	69	38	84	13	
98	3	9	50	77	94	26	36	77	50	75	68	69	76	4	24	23	57	66	62	38	
27	39	71	55	88	39	71	40	39	
39	27	55	26	50	31	64	16	47	
71	55	27	78	80	85	18	70	40	
55	26	78	27	39	23	89	15	73	
88	50	80	39	27	62	96	50	93	
39	31	85	23	62	27	92	16	68	
71	64	18	89	96	92	27	79	33	
40	16	70	15	50	16	79	27	60	
39	47	40	73	93	68	33	60	27	
805		984		2640		1122		6525		992		180		3551		91		
5510		1176		4536		828		64		1800		6132		900		426		
3645		2964		8424		217		2070		4116		5640		1452		4680		
5775		945		558		2280		4700		7178		1274		464		780		
3286		391		2964		286		2380		1628		3096		957		4680		
3422		3960		7600		2016		4060		819		10246		1830		3256		
4320		1886		2419		1050		189		2666		3648		1392		847		
198		3726		3763		4221		8352		1200		4896		1296		1365		
198		736		1440		2800		3300		28		1755		1340		1763		
1254		5335		1526		2640		6080		522		7198		273		3395		
1680		1530		2075		4452		4307		2013		3078		2944		195		
425		896		7931		217		1768		4464		2668		966		936		
4410		2272		4050		216		2304		1140		1974		552		3520		
611		3393		5978		2700		360		2544		232		3420		1560		
7387		1650		1704		2430		528		2747		8712		5238		7654		
2610		736		1125		2600		4032		517		7614		910		4674		
3410		1740		512		4560		3984		960		240		1540		588		
420		1300		96		2907		5676		2808		2584		3034		1890		
81		580		2992		1890		546		735		4185		943		741		
4543		969		330		2240		4004		2808		968		2596		9579		
1581		2376		4437		5460		9292		2806		6205		2652		2600		
