14 6 1
99	73	76	66	8	64	89	28	44	77	48	24	28	36	
17	49	90	91	7	91	51	52	32	99	50	27	10	95	
8	51	39	28	92	53	47	95	6	77	78	83	13	2	
69	87	63	74	73	100	89	24	31	36	52	60	85	42	
85	27	42	54	47	29	18	16	58	81	4	54	50	96	
75	56	90	63	85	16	22	72	14	10	28	1	42	3	
71	94	24	19	32	89	66	16	69	39	39	50	15	59	
85	60	96	56	15	99	41	15	57	26	49	47	97	13	
20	32	63	13	66	63	81	25	48	39	21	3	91	43	
15	95	42	14	89	10	17	8	37	26	14	79	46	35	
46	81	94	66	22	68	91	26	87	48	51	61	82	76	
47	96	64	44	83	69	71	99	96	86	29	54	52	11	
42	58	88	45	73	87	72	81	71	75	2	89	53	47	
7	72	49	67	69	20	92	87	90	55	14	46	99	22	
27	39	71	55	88	39	
39	27	55	26	50	31	
71	55	27	78	80	85	
55	26	78	27	39	23	
88	50	80	39	27	62	
39	31	85	23	62	27	
3195		2048		936		7921		4224		4324		
3240		592		1540		1500		800		1024		
2418		47		40		5694		6789		2176		
1470		2829		2760		1386		7308		4402		
4814		240		648		693		2016		660		
1782		513		4212		2976		4370		1638		
2079		3150		899		4680		3950		3182		
1798		460		114		520		2772		1100		
4838		630		4000		1464		1044		1743		
1280		4059		1534		1008		231		1364		
576		3220		5680		4410		7296		3216		
1408		96		3600		805		2112		1960		
792		4235		5777		1848		3776		957		
3976		450		425		2597		5133		5002		
