28 12 1
0	2	69	87	63	74	73	100	89	24	31	36	52	60	85	42	85	27	42	54	47	29	18	16	58	81	4	54	
50	0	75	56	90	63	85	16	22	72	14	10	28	1	42	3	71	94	24	19	32	89	66	16	69	39	39	50	
15	59	0	60	96	56	15	99	41	15	57	26	49	47	97	13	20	32	63	13	66	63	81	25	48	39	21	3	
91	43	15	0	42	14	89	10	17	8	37	26	14	79	46	35	46	81	94	66	22	68	91	26	87	48	51	61	
82	76	47	96	0	44	83	69	71	99	96	86	29	54	52	11	42	58	88	45	73	87	72	81	71	75	2	89	
53	47	7	72	49	0	69	20	92	87	90	55	14	46	99	22	45	32	52	89	44	47	81	37	22	100	16	64	
62	1	1	78	73	32	0	69	69	21	84	71	83	10	9	77	63	22	22	9	39	96	95	39	27	70	29	78	
79	43	29	20	2	20	99	0	82	14	40	61	18	83	16	99	26	24	11	22	64	70	80	70	76	67	64	6	
60	23	32	70	12	77	53	56	0	33	71	15	17	49	87	82	56	74	32	14	53	32	59	52	44	26	38	40	
45	48	39	28	8	37	26	68	68	0	73	73	95	47	95	33	47	52	67	41	61	99	16	68	35	55	53	83	
2	28	65	55	92	27	98	25	85	70	0	82	3	17	71	71	44	59	76	100	70	28	76	18	1	50	8	17	
91	79	75	44	1	59	52	7	55	39	22	0	63	66	71	54	29	82	38	69	32	1	11	53	78	23	6	8	
17	73	30	6	48	46	52	45	16	29	84	70	0	69	34	6	99	55	1	86	3	38	49	58	74	68	54	4	
13	98	19	36	62	61	13	56	96	36	84	98	26	0	43	82	90	25	77	70	46	27	67	12	21	12	55	1	
18	60	44	9	69	38	84	13	98	3	9	50	77	94	0	36	77	50	75	68	69	76	4	24	23	57	66	62	
38	23	24	66	17	75	16	5	67	13	95	49	63	92	2	0	73	50	6	45	52	78	7	45	98	47	33	45	
75	21	18	38	94	97	26	8	13	53	17	52	11	85	37	43	0	72	58	88	76	84	70	39	94	61	37	54	
46	41	25	9	43	48	29	11	22	81	53	67	87	25	72	27	39	0	46	24	80	50	1	27	67	43	19	97	
14	80	95	18	61	7	35	30	51	83	84	73	33	81	64	5	5	16	0	7	52	93	23	21	9	70	71	50	
27	72	38	21	24	44	47	87	98	45	4	53	4	76	60	83	33	24	54	0	41	99	97	86	87	32	15	100	
64	47	94	70	82	55	58	16	95	83	16	5	35	12	10	52	3	57	86	52	0	74	70	3	20	68	35	7	
15	93	23	39	59	17	3	70	77	72	8	59	93	93	44	51	84	92	61	73	52	0	17	98	58	28	54	70	
67	10	55	62	67	50	58	59	45	16	51	74	4	6	53	33	4	25	11	39	56	60	0	94	78	52	49	66	
70	41	49	48	72	54	28	61	29	71	54	94	24	42	60	79	93	69	83	53	24	15	90	0	66	1	94	28	
86	28	96	51	13	42	71	44	11	77	10	45	35	30	76	34	34	6	58	49	21	12	98	87	0	37	81	17	
16	6	15	47	39	89	43	42	66	31	7	82	90	92	91	78	18	58	4	81	53	87	28	87	59	0	82	53	
94	43	58	75	89	34	19	75	72	88	8	72	88	36	9	17	42	10	68	57	82	88	77	64	90	88	0	12	
38	39	69	13	8	15	48	71	24	40	98	63	69	91	37	86	80	43	8	50	49	46	50	75	94	31	15	0	
26	39	71	55	88	39	71	40	39	35	58	81	
39	26	55	26	50	31	64	16	47	41	24	57	
71	55	26	78	80	85	18	70	40	40	72	108	
55	26	78	26	39	23	89	15	73	66	9	31	
88	50	80	39	26	62	96	50	93	87	32	46	
39	31	85	23	62	26	92	16	68	62	30	42	
71	64	18	89	96	92	26	79	33	36	84	120	
40	16	70	15	50	16	79	26	60	53	18	44	
39	47	40	73	93	68	33	60	26	7	71	104	
35	41	40	66	87	62	36	53	7	26	64	97	
58	24	72	9	32	30	84	18	71	64	26	36	
81	57	108	31	46	42	120	44	104	97	36	26	
693		4410		1271		1440		4850		6216		980		754		1200		1904		3016		3825		
3658		1012		2109		1014		1708		1892		1080		1972		6500		4130		697		4335		
4838		3600		3800		24		2784		1344		7085		1950		7040		3078		1188		936		
2720		2870		885		1260		1407		5332		2432		720		4697		72		3069		2340		
468		1610		1917		1890		8064		624		4352		240		1610		1216		1056		6840		
1474		32		4800		1995		1914		1176		2145		1040		2952		2890		864		3055		
2508		330		872		693		3648		2436		5074		3276		2910		1710		1512		2162		
3304		1110		1175		3339		5605		2501		228		2070		2340		2550		4089		1162		
935		3752		8652		1829		2244		4752		232		4278		2080		9409		1749		364		
4536		1920		6804		672		2112		2220		6110		805		4320		4891		330		2262		
585		3588		1708		5760		1080		2016		4872		4365		884		1166		3294		7298		
8277		3350		1775		4275		720		871		2200		4806		1780		1411		3108		3477		
1890		1932		5100		1040		5544		737		972		13		3876		3213		1426		2958		
248		1080		2752		1824		3216		3480		288		3300		1372		2025		738		760		
3780		2500		1920		204		4620		2646		2166		3690		1188		1518		987		4018		
756		2755		1100		5184		3744		637		4365		3526		418		12		4187		510		
7469		3705		6380		448		676		3237		6171		2904		5253		5088		456		637		
1139		1512		3393		2600		8484		1150		1105		3723		3380		1029		5950		261		
484		95		2035		1794		3240		2144		3894		576		832		1350		323		1242		
1972		1927		8455		2784		3010		1100		6790		3108		5440		5270		1566		1728		
1037		1458		288		4500		3496		741		867		1763		3900		1012		1628		292		
1767		605		2457		3136		8080		1118		1958		1479		2223		1113		6417		6545		
1612		2204		1728		5642		1740		660		3600		3360		28		675		744		8280		
3564		945		1131		1078		1904		114		3772		3318		1600		2555		3612		6952		
1053		1610		8075		1036		504		459		5800		3276		7820		4300		1968		2080		
1672		1476		3255		986		6716		756		7425		448		5616		1716		2604		4128		
256		2806		962		2394		1344		1269		923		1008		2888		280		3036		8536		
1536		860		6624		162		4042		416		1391		2349		8455		410		182		1328		
